Rank,Handle,Points,Penalty,Points (Buzz Lightyear),Penalty,Tries,Points (A Simple Game),Penalty,Tries,Points (Chocolate Rounds),Penalty,Tries,Points (Eloa’s Secret),Penalty,Tries,Points (Uncle M),Penalty,Tries,Points (Fun With Fraction),Penalty,Tries,Points (Cache Cash),Penalty,Tries,Points (Weapon Supplier),Penalty,Tries,Points (Beautiful String),Penalty,Tries,Points (Hyperloop),Penalty,Tries,Points (Match the Color),Penalty,Tries,Points (Office Para),Penalty,Tries
1,subiupc2017.16,900,1196,,,,100,81,2,100,97,3,100,222,3,100,71,1,100,364,4,100,138,2,,,,100,125,1,100,91,1,100,7,1,0,0,0
2,subiupc2017.95,900,1405,0,0,0,100,269,5,100,160,5,100,270,1,100,50,1,100,274,4,100,94,1,,,,100,245,2,100,28,1,100,15,1,,,
3,subiupc2017.68,900,1584,,,,100,185,1,100,122,1,100,263,1,100,58,1,100,364,4,100,163,1,,,,100,225,2,100,186,4,100,18,1,,,
4,subiupc2017.36,800,855,,,,100,214,3,100,16,1,0,0,0,100,66,2,100,316,2,100,76,1,,,,100,97,1,100,65,1,100,5,1,,,
5,subiupc2017.46,800,861,0,0,0,100,89,1,100,48,1,100,181,2,100,43,1,0,0,0,100,77,2,,,,100,213,3,100,203,4,100,7,1,,,
6,subiupc2017.10,800,866,,,,100,160,1,100,25,1,100,255,1,100,91,2,0,0,0,100,91,1,,,,100,169,2,100,50,1,100,25,1,,,
7,subiupc2017.18,800,1102,,,,100,113,1,100,125,3,,,,100,66,1,100,346,3,100,177,3,,,,100,239,1,100,21,1,100,15,1,,,
8,subiupc2017.20,800,1586,0,0,0,100,286,5,100,146,4,0,0,0,100,67,1,100,370,5,100,225,3,,,,100,406,6,100,78,1,100,8,1,,,
9,subiupc2017.11,700,824,,,,100,134,1,100,250,6,,,,100,93,1,0,0,0,100,58,1,,,,100,216,1,100,63,1,100,10,1,,,
10,subiupc2017.96,700,1128,,,,100,273,1,100,82,1,,,,100,38,1,,,,100,153,1,,,,100,351,4,100,221,4,100,10,1,,,
11,subiupc2017.77,700,1241,,,,100,211,3,100,278,4,,,,100,100,1,,,,100,148,1,,,,100,206,1,100,279,1,100,19,1,,,
